class,Original_model_52,Original_model_49,Original_model_42,fognight_model_52,fognight_model_49,fognight_model_42,fogsnow_model_52,fogsnow_model_49,fogsnow_model_42,fograin_model_52,fograin_model_49,fograin_model_42,rainnight_model_52,rainnight_model_49,rainnight_model_42,snownight_model_52,snownight_model_49,snownight_model_42,images
59,100.0,100.0,100.0,14.81,22.22,29.63,3.7,18.52,22.22,7.41,14.81,18.52,92.59,100.0,96.3,100.0,96.3,100.0,27
60,98.41,96.83,96.83,33.33,30.16,22.22,31.75,23.81,15.87,30.16,22.22,19.05,92.06,85.71,84.13,93.65,82.54,87.3,63
61,96.43,96.43,94.64,39.29,33.93,37.5,37.5,37.5,26.79,42.86,35.71,28.57,94.64,94.64,94.64,92.86,96.43,94.64,56
62,84.85,84.85,81.82,30.3,18.18,30.3,18.18,27.27,21.21,21.21,18.18,30.3,78.79,78.79,87.88,84.85,81.82,81.82,33
63,92.44,91.11,96.89,22.22,22.22,20.0,62.22,54.22,53.78,60.89,53.33,54.22,72.0,74.67,71.11,70.22,71.11,69.78,225
64,63.64,45.45,63.64,9.09,9.09,9.09,9.09,18.18,18.18,9.09,9.09,9.09,45.45,36.36,36.36,27.27,27.27,36.36,11
65,66.67,55.56,33.33,0.0,0.0,0.0,0.0,11.11,11.11,0.0,11.11,0.0,66.67,22.22,11.11,77.78,55.56,0.0,9
66,88.46,91.54,91.54,10.77,30.77,14.62,36.92,46.92,35.38,36.15,44.62,41.54,70.77,83.85,68.46,67.69,83.08,62.31,130
67,98.89,100.0,98.89,32.22,37.78,27.78,52.78,38.89,43.33,51.67,42.22,40.0,98.33,96.11,94.44,96.11,98.33,95.56,180
68,94.44,91.67,91.67,44.44,38.89,41.67,44.44,38.89,50.0,58.33,27.78,44.44,91.67,94.44,91.67,94.44,94.44,91.67,36
69,72.73,72.73,72.73,36.36,45.45,63.64,54.55,63.64,45.45,54.55,72.73,45.45,72.73,72.73,72.73,72.73,72.73,72.73,11
70,100.0,100.0,100.0,43.1,37.93,48.28,63.79,56.9,53.45,51.72,41.38,46.55,96.55,96.55,96.55,98.28,98.28,98.28,58
71,100.0,87.5,100.0,12.5,12.5,20.83,8.33,12.5,37.5,8.33,16.67,20.83,100.0,87.5,95.83,100.0,95.83,87.5,24
72,96.51,97.67,96.51,43.02,47.67,45.35,54.65,53.49,47.67,53.49,60.47,47.67,95.35,95.35,95.35,93.02,96.51,96.51,86
73,97.96,97.96,97.96,63.27,53.06,59.18,81.63,63.27,67.35,73.47,55.1,63.27,95.92,97.96,97.96,97.96,97.96,95.92,49
