class,Original_model_52,Original_model_49,Original_model_42,fogmild_model_52,fogmild_model_49,fogmild_model_42,fogmedium_model_52,fogmedium_model_49,fogmedium_model_42,fogheavy_model_52,fogheavy_model_49,fogheavy_model_42,rainmild_model_52,rainmild_model_49,rainmild_model_42,rainmedium_model_52,rainmedium_model_49,rainmedium_model_42,rainheavy_model_52,rainheavy_model_49,rainheavy_model_42,snowmild_model_52,snowmild_model_49,snowmild_model_42,snowmedium_model_52,snowmedium_model_49,snowmedium_model_42,snowheavy_model_52,snowheavy_model_49,snowheavy_model_42,nightmild_model_52,nightmild_model_49,nightmild_model_42,nightmedium_model_52,nightmedium_model_49,nightmedium_model_42,nightheavy_model_52,nightheavy_model_49,nightheavy_model_42,images
31,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,33.33,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.67,66.67,100.0,66.67,100.0,0.0,33.33,66.67,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,180
32,85.71,85.71,85.71,71.43,85.71,85.71,71.43,71.43,71.43,28.57,14.29,14.29,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,71.43,71.43,57.14,57.14,57.14,57.14,57.14,42.86,42.86,100.0,85.71,85.71,100.0,85.71,85.71,85.71,85.71,85.71,356
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
36,100.0,100.0,100.0,100.0,66.67,100.0,100.0,100.0,100.0,0.0,0.0,66.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.33,100.0,100.0,66.67,66.67,33.33,0.0,0.0,33.33,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,154
37,100.0,100.0,100.0,50.0,100.0,100.0,0.0,50.0,50.0,0.0,50.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,139
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
41,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,97
42,100.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,78
43,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,54
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
45,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,60.0,80.0,20.0,40.0,40.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,265
46,100.0,100.0,100.0,80.0,80.0,100.0,80.0,100.0,100.0,40.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,80.0,60.0,60.0,60.0,40.0,0.0,20.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,255
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
48,100.0,100.0,100.0,100.0,100.0,100.0,33.33,50.0,83.33,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,83.33,66.67,66.67,33.33,0.0,33.33,16.67,33.33,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,83.33,100.0,100.0,324
49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,56
50,87.5,100.0,87.5,100.0,62.5,87.5,75.0,100.0,87.5,12.5,12.5,0.0,100.0,87.5,87.5,100.0,87.5,87.5,87.5,87.5,87.5,75.0,87.5,87.5,50.0,62.5,75.0,50.0,50.0,12.5,87.5,87.5,87.5,87.5,87.5,100.0,100.0,87.5,100.0,414
51,100.0,100.0,100.0,75.0,50.0,75.0,50.0,25.0,75.0,0.0,0.0,0.0,100.0,100.0,100.0,75.0,75.0,75.0,100.0,100.0,75.0,0.0,0.0,50.0,0.0,25.0,25.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,243
52,100.0,100.0,100.0,66.67,77.78,88.89,44.44,88.89,55.56,11.11,11.11,0.0,100.0,100.0,88.89,100.0,100.0,100.0,88.89,88.89,88.89,44.44,33.33,55.56,22.22,33.33,11.11,11.11,22.22,0.0,100.0,100.0,100.0,100.0,100.0,88.89,100.0,100.0,77.78,484
53,75.0,75.0,75.0,25.0,75.0,75.0,50.0,50.0,75.0,0.0,25.0,0.0,75.0,75.0,75.0,75.0,75.0,75.0,100.0,75.0,75.0,25.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,238
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
55,100.0,75.0,100.0,50.0,25.0,75.0,75.0,50.0,75.0,0.0,0.0,0.0,100.0,75.0,100.0,100.0,50.0,100.0,100.0,75.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,75.0,100.0,100.0,75.0,100.0,100.0,75.0,100.0,231
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
57,100.0,100.0,100.0,100.0,66.67,66.67,66.67,100.0,33.33,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,66.67,66.67,100.0,66.67,66.67,66.67,33.33,0.0,0.0,0.0,33.33,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,196
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
60,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,63
61,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,56
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
63,100.0,100.0,100.0,75.0,75.0,75.0,50.0,75.0,75.0,25.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,75.0,75.0,75.0,25.0,0.0,25.0,25.0,100.0,100.0,100.0,100.0,100.0,75.0,75.0,100.0,50.0,225
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
66,100.0,100.0,100.0,100.0,100.0,50.0,50.0,100.0,50.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,130
67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.67,100.0,33.33,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.67,100.0,66.67,100.0,66.67,33.33,0.0,33.33,33.33,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,180
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
70,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,58
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
72,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
74,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,75.0,75.0,25.0,75.0,50.0,25.0,75.0,25.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,100.0,100.0,206
75,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,51
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
77,100.0,100.0,50.0,100.0,100.0,100.0,100.0,50.0,100.0,0.0,0.0,0.0,100.0,100.0,50.0,100.0,100.0,50.0,100.0,100.0,50.0,0.0,100.0,50.0,50.0,50.0,0.0,50.0,0.0,0.0,100.0,100.0,50.0,100.0,100.0,50.0,100.0,50.0,50.0,138
78,100.0,100.0,100.0,66.67,66.67,66.67,33.33,33.33,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,66.67,33.33,0.0,0.0,0.0,0.0,0.0,33.33,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,197
79,100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,100.0,0.0,0.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,100.0,50.0,50.0,50.0,50.0,0.0,100.0,100.0,100.0,100.0,50.0,100.0,100.0,50.0,100.0,100.0,103
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
83,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,78
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
86,66.67,66.67,66.67,66.67,66.67,66.67,66.67,100.0,33.33,0.0,0.0,0.0,66.67,100.0,66.67,100.0,66.67,66.67,66.67,66.67,66.67,66.67,33.33,33.33,33.33,66.67,33.33,0.0,33.33,0.0,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,33.33,178
87,33.33,66.67,100.0,33.33,0.0,33.33,33.33,100.0,0.0,0.0,0.0,0.0,66.67,100.0,100.0,33.33,66.67,100.0,33.33,66.67,100.0,0.0,33.33,0.0,0.0,33.33,0.0,0.0,33.33,33.33,33.33,100.0,66.67,33.33,66.67,66.67,33.33,66.67,66.67,158
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
90,100.0,100.0,100.0,91.67,91.67,91.67,75.0,91.67,83.33,8.33,0.0,16.67,100.0,91.67,100.0,100.0,91.67,100.0,91.67,100.0,100.0,75.0,83.33,66.67,75.0,58.33,50.0,33.33,33.33,58.33,100.0,91.67,100.0,91.67,91.67,100.0,91.67,100.0,100.0,618
91,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,59
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
