class,Original_model_52,Original_model_49,Original_model_42,fognight_model_52,fognight_model_49,fognight_model_42,fogsnow_model_52,fogsnow_model_49,fogsnow_model_42,fograin_model_52,fograin_model_49,fograin_model_42,rainnight_model_52,rainnight_model_49,rainnight_model_42,snownight_model_52,snownight_model_49,snownight_model_42,images
20,97.4,97.84,96.97,80.09,86.15,87.01,81.82,86.15,86.15,89.61,88.31,87.88,96.1,95.67,94.81,91.34,94.81,90.48,231
21,91.4,94.62,89.25,65.59,64.52,61.29,72.04,75.27,62.37,74.19,77.42,64.52,87.1,90.32,81.72,84.95,81.72,72.04,93
22,80.0,84.62,81.54,75.38,78.46,78.46,75.38,75.38,75.38,76.92,80.0,80.0,80.0,83.08,81.54,78.46,84.62,81.54,65
23,96.92,96.92,96.92,88.0,87.38,89.23,79.69,85.54,82.46,84.62,86.77,85.54,96.0,96.31,95.38,95.08,90.77,90.46,325
24,50.0,65.0,70.0,10.0,30.0,55.0,25.0,50.0,40.0,15.0,45.0,50.0,50.0,75.0,70.0,35.0,70.0,50.0,20
25,80.95,71.43,90.48,38.1,47.62,42.86,57.14,33.33,47.62,42.86,38.1,42.86,80.95,76.19,80.95,76.19,66.67,66.67,21
26,95.45,95.45,86.36,77.27,68.18,77.27,54.55,54.55,45.45,68.18,68.18,72.73,95.45,95.45,86.36,86.36,90.91,77.27,22
27,5.88,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,5.88,0.0,0.0,17
28,97.66,97.66,98.05,68.75,74.22,68.75,73.44,70.7,69.14,73.05,74.22,76.95,94.53,97.27,93.36,87.5,84.38,83.59,256
29,91.23,85.96,82.46,56.14,42.11,33.33,45.61,40.35,35.09,49.12,38.6,33.33,82.46,73.68,71.93,66.67,54.39,59.65,57
30,98.38,97.68,97.68,93.97,93.27,94.43,91.42,91.18,95.36,94.66,93.74,94.66,97.91,96.52,98.38,96.98,93.74,96.29,431
31,95.0,93.89,93.89,80.56,81.11,88.33,82.78,80.56,84.44,83.89,86.11,89.44,94.44,92.78,92.78,91.11,87.22,92.78,180
32,98.31,97.47,96.91,86.24,85.96,86.24,89.89,89.61,86.52,92.7,89.61,90.17,96.63,95.79,93.54,91.01,87.36,86.8,356
33,83.33,77.78,83.33,77.78,72.22,83.33,72.22,72.22,66.67,72.22,77.78,66.67,83.33,83.33,83.33,83.33,83.33,83.33,18
34,100.0,100.0,100.0,90.48,95.24,90.48,80.95,85.71,90.48,80.95,80.95,80.95,100.0,95.24,100.0,95.24,90.48,95.24,21
35,88.57,91.43,94.29,48.57,65.71,48.57,65.71,65.71,54.29,65.71,82.86,60.0,82.86,77.14,82.86,60.0,71.43,71.43,35
36,98.05,98.7,100.0,83.77,94.81,88.96,88.96,94.16,90.91,87.66,90.91,94.16,98.7,100.0,100.0,98.7,95.45,96.1,154
37,96.4,95.68,94.96,64.03,65.47,64.75,64.03,69.06,69.06,74.82,76.26,76.26,96.4,94.96,92.09,84.17,84.89,82.73,139
38,77.78,77.78,88.89,55.56,66.67,66.67,44.44,55.56,33.33,11.11,55.56,22.22,77.78,77.78,66.67,88.89,66.67,66.67,9
39,84.85,84.85,81.82,54.55,78.79,57.58,63.64,75.76,60.61,63.64,72.73,69.7,84.85,84.85,75.76,75.76,84.85,66.67,33
40,85.11,93.62,80.85,51.06,68.09,61.7,51.06,63.83,53.19,53.19,72.34,55.32,80.85,87.23,87.23,82.98,85.11,85.11,47
41,93.81,95.88,95.88,88.66,86.6,86.6,86.6,86.6,85.57,86.6,85.57,86.6,93.81,92.78,95.88,89.69,92.78,93.81,97
42,89.74,92.31,89.74,71.79,79.49,70.51,74.36,76.92,69.23,74.36,78.21,66.67,92.31,93.59,89.74,88.46,88.46,87.18,78
43,85.19,92.59,94.44,72.22,74.07,72.22,68.52,66.67,75.93,74.07,77.78,75.93,87.04,90.74,88.89,87.04,90.74,74.07,54
44,100.0,71.43,85.71,71.43,57.14,71.43,57.14,42.86,42.86,28.57,71.43,57.14,100.0,85.71,85.71,71.43,57.14,57.14,7
45,98.49,98.11,99.25,92.45,90.94,89.81,91.32,89.43,89.06,93.58,92.45,91.32,98.11,97.74,97.36,97.36,96.98,93.58,265
46,97.25,97.25,96.86,89.41,85.88,89.41,90.2,87.45,89.8,93.33,93.33,95.29,96.86,96.08,95.29,92.55,85.1,90.59,255
47,70.37,81.48,77.78,37.04,37.04,40.74,25.93,29.63,48.15,22.22,40.74,48.15,70.37,81.48,66.67,48.15,55.56,55.56,27
48,92.9,91.36,93.83,74.69,82.1,82.72,74.38,77.47,76.23,81.79,79.94,81.17,91.36,90.74,93.83,85.8,86.73,86.11,324
49,87.5,91.07,89.29,69.64,76.79,76.79,53.57,69.64,71.43,64.29,67.86,78.57,89.29,89.29,92.86,82.14,83.93,91.07,56
