class,Original_model_42,night1_model_42,night2_model_42,night3_model_42,night4_model_42,night5_model_42,night6_model_42,night7_model_42,night8_model_42,night9_model_42,night10_model_42,images
86,94.94,92.13,92.7,92.13,90.45,89.89,84.83,85.96,81.46,76.4,67.98,178
87,91.14,89.24,87.97,87.34,86.08,81.65,77.22,68.35,65.19,58.86,52.53,158
88,71.43,75.0,71.43,71.43,71.43,75.0,75.0,75.0,78.57,71.43,71.43,28
89,62.5,50.0,50.0,50.0,50.0,50.0,37.5,50.0,37.5,37.5,37.5,8
90,96.6,96.93,96.6,97.25,97.09,97.09,97.41,97.09,96.28,95.79,94.98,618
91,93.22,93.22,91.53,91.53,91.53,89.83,91.53,91.53,89.83,91.53,89.83,59
92,58.33,58.33,58.33,50.0,41.67,33.33,8.33,8.33,8.33,0.0,16.67,12
93,84.48,84.48,81.03,79.31,72.41,70.69,68.97,68.97,65.52,51.72,48.28,58
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
96,57.14,57.14,57.14,57.14,71.43,71.43,71.43,71.43,71.43,57.14,28.57,7
97,77.78,80.95,76.19,77.78,77.78,77.78,77.78,77.78,76.19,76.19,74.6,63
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
99,78.95,78.95,78.95,78.95,78.95,78.95,78.95,78.95,78.95,84.21,84.21,19
100,83.33,83.33,83.33,83.33,83.33,83.33,83.33,66.67,66.67,66.67,66.67,6
101,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,0.0,0.0,5
102,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,25
