class,Original_model_52,Original_model_49,Original_model_42,fognight_model_52,fognight_model_49,fognight_model_42,fogsnow_model_52,fogsnow_model_49,fogsnow_model_42,fograin_model_52,fograin_model_49,fograin_model_42,rainnight_model_52,rainnight_model_49,rainnight_model_42,snownight_model_52,snownight_model_49,snownight_model_42,images
81,80.56,88.89,80.56,63.89,75.0,63.89,63.89,66.67,72.22,61.11,75.0,69.44,77.78,86.11,83.33,77.78,88.89,83.33,36
82,100.0,100.0,85.71,85.71,71.43,28.57,71.43,85.71,85.71,85.71,85.71,57.14,85.71,28.57,71.43,100.0,57.14,71.43,7
83,97.44,97.44,97.44,69.23,62.82,75.64,67.95,66.67,83.33,73.08,73.08,78.21,87.18,87.18,91.03,93.59,84.62,91.03,78
84,25.0,25.0,25.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,50.0,25.0,25.0,25.0,25.0,0.0,25.0,25.0,4
85,33.33,22.22,44.44,0.0,0.0,0.0,0.0,11.11,11.11,11.11,0.0,0.0,33.33,11.11,44.44,22.22,11.11,44.44,9
86,93.82,91.57,94.38,58.99,52.25,58.99,68.54,78.09,83.71,71.91,74.16,84.27,86.52,82.02,87.64,85.96,84.27,90.45,178
87,93.67,83.54,94.3,48.73,49.37,52.53,68.35,64.56,73.42,65.82,61.39,69.62,85.44,81.65,85.44,87.34,77.85,87.34,158
88,78.57,71.43,85.71,25.0,25.0,39.29,67.86,39.29,46.43,53.57,35.71,46.43,64.29,60.71,75.0,75.0,60.71,82.14,28
89,62.5,75.0,62.5,0.0,0.0,37.5,12.5,0.0,25.0,37.5,0.0,12.5,37.5,50.0,50.0,50.0,37.5,37.5,8
90,98.06,96.76,97.41,84.79,85.6,90.61,94.34,92.07,93.2,94.5,92.56,93.04,96.12,96.44,95.15,95.95,96.28,95.95,618
91,91.53,88.14,91.53,64.41,62.71,76.27,67.8,74.58,72.88,64.41,67.8,72.88,88.14,86.44,93.22,88.14,84.75,91.53,59
92,41.67,0.0,41.67,8.33,0.0,41.67,16.67,0.0,16.67,25.0,0.0,33.33,8.33,0.0,58.33,16.67,0.0,58.33,12
93,46.55,70.69,58.62,5.17,20.69,31.03,24.14,43.1,43.1,22.41,46.55,31.03,24.14,50.0,44.83,15.52,48.28,48.28,58
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
95,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
96,0.0,0.0,28.57,0.0,0.0,14.29,0.0,14.29,14.29,0.0,0.0,42.86,0.0,0.0,57.14,0.0,0.0,42.86,7
97,77.78,95.24,87.3,63.49,58.73,76.19,71.43,73.02,63.49,68.25,76.19,77.78,73.02,90.48,82.54,73.02,90.48,84.13,63
98,100.0,66.67,100.0,33.33,0.0,0.0,33.33,0.0,33.33,33.33,0.0,33.33,100.0,66.67,66.67,100.0,0.0,33.33,3
99,78.95,84.21,84.21,78.95,68.42,57.89,63.16,63.16,63.16,73.68,78.95,78.95,78.95,84.21,84.21,78.95,84.21,78.95,19
100,33.33,0.0,33.33,33.33,0.0,16.67,33.33,16.67,50.0,66.67,0.0,33.33,50.0,16.67,33.33,50.0,0.0,66.67,6
101,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,80.0,80.0,100.0,80.0,60.0,100.0,100.0,80.0,100.0,100.0,5
102,92.0,84.0,96.0,64.0,56.0,92.0,72.0,72.0,60.0,80.0,60.0,72.0,88.0,84.0,96.0,92.0,84.0,96.0,25
