Epochs,Resolution,Class,Class_Acuracy,Total_in_Class
6,101,1,97.37,38
6,101,31,100.0,19
6,101,106,87.5,48
6,101,76,98.59,71
6,101,104,95.83,24
6,101,81,76.19,21
6,101,61,100.0,11
6,101,53,58.82,17
6,101,94,94.74,19
6,101,82,50.0,6
6,101,3,57.14,7
6,101,11,0.0,4
6,101,98,0.0,6
6,101,55,88.89,9
6,101,101,80.65,31
6,101,97,62.5,8
6,101,87,50.0,6
6,101,62,100.0,9
6,101,96,66.67,6
6,101,4,100.0,8
6,101,5,14.29,7
6,101,105,80.0,10
6,101,73,100.0,16
6,101,91,75.0,8
6,101,8,50.0,6
6,101,90,77.78,9
6,101,95,0.0,2
6,101,41,100.0,7
6,101,79,83.33,6
6,101,77,50.0,4
7,101,21,98.58,424
7,101,48,99.57,470
7,101,49,98.71,619
7,101,71,95.97,397
7,101,83,96.89,450
7,101,56,98.67,75
7,101,34,98.28,232
7,101,45,97.47,673
7,101,42,99.45,361
7,101,52,97.45,471
7,101,64,98.44,385
7,101,27,98.84,430
7,101,14,97.74,310
7,101,29,98.38,185
7,101,18,98.53,477
7,101,28,97.5,400
7,101,37,97.22,36
7,101,15,92.86,98
7,101,60,94.22,173
7,101,7,100.0,86
7,101,19,97.45,196
7,101,43,99.82,554
7,101,1,100.0,38
7,101,74,92.97,185
7,101,22,94.12,17
7,101,90,88.89,9
7,101,54,99.3,430
7,101,50,65.22,23
7,101,69,97.16,211
7,101,59,100.0,72
7,101,63,92.52,107
7,101,47,97.83,323
7,101,53,88.24,17
7,101,57,96.97,132
7,101,33,98.62,217
7,101,25,98.39,435
7,101,72,98.04,102
7,101,36,92.31,26
7,101,13,100.0,167
7,101,86,98.0,50
7,101,67,99.24,131
7,101,10,98.16,163
7,101,93,73.68,19
7,101,65,72.41,29
7,101,31,100.0,19
7,101,26,99.26,136
7,101,38,98.75,160
7,101,80,83.1,71
7,101,51,83.33,12
7,101,44,95.65,69
7,101,55,100.0,9
7,101,58,97.83,92
7,101,97,75.0,8
