class,Original_model_52,Original_model_49,Original_model_42,fog_model_52,fog_model_49,fog_model_42,night_model_52,night_model_49,night_model_42,rain_model_52,rain_model_49,rain_model_42,snow_model_52,snow_model_49,snow_model_42,day_model_52,day_model_49,day_model_42,images
52,95.04,91.53,90.5,19.63,30.58,28.1,80.79,80.58,77.89,73.76,75.41,72.73,73.35,75.83,76.86,93.8,90.5,90.08,484
53,85.65,89.03,88.61,5.49,18.99,14.35,71.73,64.56,70.89,70.89,74.26,77.64,72.15,75.11,74.26,85.23,86.92,89.03,237
54,72.22,77.78,88.89,11.11,22.22,44.44,61.11,11.11,72.22,72.22,72.22,77.78,61.11,61.11,77.78,72.22,77.78,83.33,18
55,88.03,82.05,90.6,3.85,14.96,11.11,46.58,47.44,73.93,68.38,70.51,77.78,72.22,72.22,78.63,86.75,81.2,90.17,234
56,41.67,37.5,50.0,0.0,12.5,0.0,0.0,0.0,0.0,37.5,25.0,33.33,37.5,29.17,33.33,37.5,41.67,50.0,24
57,71.07,67.51,81.73,1.02,3.55,10.66,41.62,38.58,74.62,49.75,43.15,64.47,49.75,49.75,68.02,70.56,67.51,80.2,197
58,100.0,83.33,83.33,0.0,8.33,0.0,75.0,33.33,66.67,66.67,50.0,91.67,75.0,50.0,66.67,91.67,83.33,83.33,12
59,86.67,76.67,86.67,3.33,26.67,10.0,86.67,70.0,83.33,66.67,70.0,60.0,70.0,70.0,60.0,86.67,76.67,83.33,30
60,92.31,80.0,90.77,4.62,18.46,6.15,92.31,78.46,84.62,50.77,58.46,58.46,70.77,66.15,63.08,90.77,75.38,93.85,65
61,71.93,87.72,85.96,14.04,28.07,24.56,70.18,84.21,77.19,63.16,77.19,80.7,70.18,77.19,73.68,66.67,87.72,85.96,57
62,40.0,91.43,97.14,2.86,11.43,14.29,74.29,94.29,94.29,31.43,62.86,65.71,40.0,80.0,85.71,40.0,91.43,97.14,35
63,89.43,88.11,88.55,15.42,25.11,19.38,42.29,51.98,52.86,84.14,81.5,77.97,81.5,79.3,79.74,88.99,88.99,88.55,227
64,64.29,35.71,50.0,0.0,0.0,0.0,21.43,0.0,7.14,64.29,28.57,21.43,64.29,28.57,35.71,64.29,35.71,50.0,14
65,100.0,63.64,100.0,9.09,27.27,9.09,81.82,45.45,63.64,90.91,63.64,81.82,90.91,72.73,100.0,100.0,63.64,100.0,11
66,72.06,69.12,65.44,15.44,16.91,13.97,41.91,33.09,36.76,62.5,61.76,54.41,65.44,63.24,56.62,71.32,69.12,64.71,136
67,93.96,96.15,95.6,16.48,25.27,31.32,66.48,62.09,79.67,75.82,78.02,84.07,74.18,84.62,87.36,93.96,95.6,95.6,182
68,82.05,76.92,71.79,25.64,20.51,20.51,66.67,51.28,64.1,76.92,58.97,69.23,74.36,69.23,66.67,79.49,82.05,76.92,39
69,93.33,86.67,93.33,53.33,33.33,40.0,93.33,66.67,100.0,93.33,80.0,93.33,93.33,66.67,93.33,93.33,86.67,93.33,15
70,87.5,92.19,85.94,10.94,35.94,45.31,76.56,53.12,79.69,82.81,89.06,84.38,82.81,84.38,84.38,87.5,92.19,85.94,64
71,96.0,72.0,96.0,0.0,4.0,0.0,44.0,16.0,16.0,84.0,72.0,76.0,88.0,64.0,80.0,96.0,72.0,96.0,25
72,95.56,91.11,92.22,23.33,12.22,32.22,65.56,12.22,63.33,91.11,83.33,91.11,88.89,82.22,91.11,95.56,91.11,92.22,90
73,100.0,90.0,96.0,54.0,30.0,24.0,74.0,28.0,18.0,100.0,86.0,92.0,100.0,84.0,84.0,100.0,90.0,96.0,50
74,96.52,93.03,95.52,50.75,28.36,28.86,91.04,55.22,65.67,95.02,84.08,94.53,94.53,83.58,88.56,96.52,93.03,95.52,201
75,87.04,85.19,87.04,38.89,27.78,40.74,44.44,5.56,62.96,75.93,74.07,77.78,75.93,75.93,79.63,88.89,85.19,88.89,54
76,84.21,84.21,89.47,15.79,26.32,21.05,57.89,42.11,21.05,78.95,63.16,68.42,84.21,73.68,84.21,84.21,84.21,89.47,19
77,86.71,89.51,90.21,24.48,27.27,21.68,69.93,51.75,65.73,86.01,80.42,80.42,83.92,78.32,79.02,86.01,88.81,88.11,143
78,94.23,91.83,94.23,15.87,14.42,10.58,85.58,59.13,72.6,83.17,82.21,77.88,81.73,82.21,75.96,93.75,91.35,94.23,208
79,98.13,95.33,99.07,20.56,27.1,24.3,82.24,46.73,79.44,94.39,89.72,95.33,94.39,92.52,93.46,98.13,95.33,99.07,107
80,100.0,80.0,100.0,0.0,0.0,40.0,60.0,0.0,60.0,100.0,60.0,100.0,80.0,80.0,100.0,100.0,80.0,100.0,5
81,97.3,91.89,94.59,21.62,0.0,5.41,89.19,2.7,37.84,94.59,75.68,75.68,94.59,83.78,72.97,97.3,94.59,94.59,37
