class,Original_model_42,fognight_model_42,fogsnow_model_42,fograin_model_42,rainnight_model_42,snownight_model_42,images
93,68.97,1.72,15.52,12.07,12.07,3.45,58
94,0.0,0.0,0.0,0.0,0.0,0.0,3
95,33.33,0.0,0.0,0.0,0.0,0.0,3
96,14.29,42.86,0.0,14.29,14.29,14.29,7
97,84.13,53.97,71.43,69.84,60.32,42.86,63
98,66.67,0.0,0.0,33.33,0.0,0.0,3
99,89.47,57.89,57.89,63.16,68.42,57.89,19
100,33.33,16.67,33.33,0.0,33.33,16.67,6
101,80.0,40.0,40.0,60.0,0.0,0.0,5
102,96.0,60.0,48.0,52.0,84.0,48.0,25
