class,Original_model_42,fognight_model_42,fogsnow_model_42,fograin_model_42,rainnight_model_42,snownight_model_42,images
46,97.65,35.29,25.88,36.86,62.75,17.65,255
47,88.89,29.63,7.41,14.81,40.74,14.81,27
48,94.75,54.63,36.73,53.4,63.89,32.72,324
49,92.86,46.43,26.79,41.07,60.71,19.64,56
50,97.1,56.52,40.34,51.93,68.84,34.78,414
51,98.77,41.15,26.75,35.39,59.67,20.99,243
52,98.97,38.22,34.3,46.28,66.74,27.48,484
53,92.02,16.81,11.76,17.65,47.48,10.5,238
54,62.5,25.0,0.0,18.75,37.5,6.25,16
55,98.7,16.45,6.93,11.26,44.59,10.82,231
56,79.17,4.17,0.0,4.17,16.67,0.0,24
57,94.39,28.57,18.37,32.14,59.18,19.39,196
58,83.33,8.33,8.33,33.33,58.33,16.67,12
59,100.0,14.81,3.7,14.81,66.67,11.11,27
60,96.83,39.68,33.33,36.51,57.14,15.87,63
61,96.43,39.29,17.86,33.93,60.71,19.64,56
62,90.91,42.42,18.18,21.21,51.52,24.24,33
63,94.22,14.67,32.0,47.56,37.33,12.0,225
64,81.82,9.09,0.0,18.18,18.18,0.0,11
65,66.67,0.0,0.0,11.11,22.22,11.11,9
66,90.0,13.85,21.54,28.46,25.38,6.92,130
67,99.44,31.67,23.33,42.22,63.89,12.22,180
68,97.22,41.67,38.89,50.0,63.89,36.11,36
69,81.82,45.45,27.27,63.64,63.64,45.45,11
70,100.0,27.59,22.41,31.03,68.97,8.62,58
71,95.83,20.83,16.67,33.33,62.5,8.33,24
72,98.84,40.7,37.21,55.81,74.42,27.91,86
73,93.88,40.82,59.18,67.35,75.51,24.49,49
74,96.6,39.32,52.91,60.68,62.14,22.82,206
75,92.16,56.86,41.18,60.78,80.39,27.45,51
76,94.44,11.11,16.67,11.11,38.89,11.11,18
77,90.58,52.9,45.65,55.8,59.42,28.26,138
78,98.98,38.58,25.89,43.15,67.51,20.3,197
79,96.12,30.1,33.01,51.46,60.19,24.27,103
80,100.0,66.67,33.33,100.0,33.33,33.33,3
81,88.89,30.56,25.0,44.44,69.44,36.11,36
82,100.0,0.0,28.57,42.86,42.86,0.0,7
83,93.59,20.51,8.97,15.38,43.59,6.41,78
84,25.0,0.0,0.0,0.0,0.0,0.0,4
85,33.33,0.0,0.0,11.11,0.0,0.0,9
86,93.82,12.92,18.54,24.16,30.34,11.8,178
87,84.18,12.66,22.15,27.22,32.91,14.56,158
88,82.14,35.71,14.29,32.14,42.86,7.14,28
89,75.0,0.0,12.5,12.5,37.5,0.0,8
90,98.38,51.29,53.72,63.75,72.49,25.57,618
91,94.92,45.76,32.2,52.54,57.63,6.78,59
92,0.0,0.0,0.0,0.0,0.0,0.0,12
93,77.59,5.17,10.34,20.69,13.79,1.72,58
94,66.67,66.67,33.33,33.33,0.0,0.0,3
95,0.0,0.0,0.0,0.0,0.0,0.0,3
96,42.86,57.14,28.57,57.14,28.57,28.57,7
97,87.3,50.79,47.62,47.62,60.32,39.68,63
98,100.0,0.0,0.0,0.0,0.0,0.0,3
99,94.74,57.89,31.58,52.63,73.68,15.79,19
100,50.0,0.0,0.0,16.67,16.67,0.0,6
101,100.0,0.0,40.0,80.0,40.0,0.0,5
102,96.0,48.0,32.0,36.0,68.0,28.0,25
